Year,Province,CropYield
2007,Ben_Tre,38.24341279799247
2008,Ben_Tre,45.59343434343434
2009,Ben_Tre,44.722564734895194
2010,Ben_Tre,45.7356608478803
2011,Ben_Tre,47.1001300390117
2012,Ben_Tre,49.47229551451188
2013,Ben_Tre,45.92797783933518
2014,Ben_Tre,47.88288288288289
2015,Ben_Tre,44.25396825396825
2016,Ben_Tre,21.10843373493976
2017,Ben_Tre,41.38433515482696
2018,Ben_Tre,45.6949806949807
2019,Ben_Tre,44.97899159663866
2020,Ben_Tre,26.863636363636363
2021,Ben_Tre,45.51912568306011
2022,Ben_Tre,46.94915254237288
1995,Tra_Vinh,38.239810986414646
1996,Tra_Vinh,42.631909547738694
1997,Tra_Vinh,35.54006968641115
1998,Tra_Vinh,35.42857142857143
1999,Tra_Vinh,36.079105760963024
2000,Tra_Vinh,39.860759493670884
2001,Tra_Vinh,37.5332778702163
2002,Tra_Vinh,42.659033078880405
2003,Tra_Vinh,44.267569856054195
2004,Tra_Vinh,43.88370118845501
2005,Tra_Vinh,44.26850258175559
2006,Tra_Vinh,44.25065731814198
2007,Tra_Vinh,41.50892857142857
2008,Tra_Vinh,47.89334508594094
2009,Tra_Vinh,46.43380767572229
2010,Tra_Vinh,49.677696605070906
2011,Tra_Vinh,49.58369098712446
2012,Tra_Vinh,55.32102022867194
2013,Tra_Vinh,54.10865874363328
2014,Tra_Vinh,56.27226463104326
2015,Tra_Vinh,56.80661577608142
2016,Tra_Vinh,45.408357075023744
2017,Tra_Vinh,51.653042688465035
2018,Tra_Vinh,56.81003584229391
2019,Tra_Vinh,56.125724476148015
2020,Tra_Vinh,45.794346978557506
2021,Tra_Vinh,54.97129186602871
2022,Tra_Vinh,53.11557788944724
1995,Dong_Thap,44.77839335180055
1996,Dong_Thap,44.01228249744115
1997,Dong_Thap,47.02608228018285
1998,Dong_Thap,45.66966398485565
1999,Dong_Thap,46.898576914388975
2000,Dong_Thap,45.99657198824682
2001,Dong_Thap,48.092089150134704
2002,Dong_Thap,51.09521575984991
2003,Dong_Thap,50.75389550870761
2004,Dong_Thap,53.441501103752756
2005,Dong_Thap,55.730168911695536
2006,Dong_Thap,52.97136563876652
2007,Dong_Thap,56.90896891075822
2008,Dong_Thap,58.11151463362529
2009,Dong_Thap,58.79325643300798
2010,Dong_Thap,60.35261234143195
2011,Dong_Thap,61.867890640590694
2012,Dong_Thap,62.58818703855619
2013,Dong_Thap,61.40642303433002
2014,Dong_Thap,62.42905788876277
2015,Dong_Thap,61.98717948717949
2016,Dong_Thap,61.6031918752267
2017,Dong_Thap,59.572728961545614
2018,Dong_Thap,63.99308224442736
2019,Dong_Thap,64.22162576687116
2020,Dong_Thap,65.62621548035783
2021,Dong_Thap,66.21332275971452
2022,Dong_Thap,67.08834508502696
1995,An_Giang,48.30270546197039
1996,An_Giang,47.25551294343241
1997,An_Giang,47.72289156626506
1998,An_Giang,47.637465051258154
1999,An_Giang,45.36616979909268
2000,An_Giang,46.89276485788114
2001,An_Giang,46.033543890219995
2002,An_Giang,54.35247275775357
2003,An_Giang,53.31018059138718
2004,An_Giang,57.493307839388144
2005,An_Giang,59.309042854445906
2006,An_Giang,58.05759682224429
2007,An_Giang,60.405535268114555
2008,An_Giang,62.246235606731624
2009,An_Giang,61.39422214247264
2010,An_Giang,62.27582679849983
2011,An_Giang,63.475971033574716
2012,An_Giang,63.055511118221084
2013,An_Giang,62.69722482070471
2014,An_Giang,64.2841163310962
2015,An_Giang,63.236572493014584
2016,An_Giang,59.412556053811656
2017,An_Giang,60.51474029012634
2018,An_Giang,63.02198683999358
2019,An_Giang,62.57863643621268
2020,An_Giang,62.995919648462014
2021,An_Giang,66.29860777724436
2022,An_Giang,65.24983454665785
1995,Kien_Giang,38.453852221930056
1996,Kien_Giang,37.755782918149464
1997,Kien_Giang,38.48533090743689
1998,Kien_Giang,37.5647361138565
1999,Kien_Giang,38.86821408018416
2000,Kien_Giang,42.22365988909427
2001,Kien_Giang,39.73846712677079
2002,Kien_Giang,44.77166174683105
2003,Kien_Giang,44.2202486678508
2004,Kien_Giang,48.04138172891461
2005,Kien_Giang,49.417589795233305
2006,Kien_Giang,46.11493866577046
2007,Kien_Giang,51.07737176188026
2008,Kien_Giang,55.600787918581744
2009,Kien_Giang,54.61662112200611
2010,Kien_Giang,54.41263419947098
2011,Kien_Giang,57.0840005823264
2012,Kien_Giang,59.12425872293477
2013,Kien_Giang,58.045171339563865
2014,Kien_Giang,60.140658174097666
2015,Kien_Giang,60.33788174139051
2016,Kien_Giang,54.33607520564043
2017,Kien_Giang,55.19923840609275
2018,Kien_Giang,58.58594179022515
2019,Kien_Giang,59.43082675529705
2020,Kien_Giang,62.393221273077984
2021,Kien_Giang,63.10744725443621
2022,Kien_Giang,62.9702687249857
1995,Can_Tho,42.575908412145345
1996,Can_Tho,44.43321833415475
1997,Can_Tho,43.990755007704166
1998,Can_Tho,43.686880332026746
1999,Can_Tho,42.426060865837975
2000,Can_Tho,45.54426705370102
2001,Can_Tho,44.30741328496939
2002,Can_Tho,48.53701270258431
2003,Can_Tho,47.25187472430525
2004,Can_Tho,49.56142264891992
2005,Can_Tho,50.88835794960904
2006,Can_Tho,49.25094465436764
2007,Can_Tho,50.26938569989929
2008,Can_Tho,52.63582443653618
2009,Can_Tho,53.29749999999999
2010,Can_Tho,54.43703880028564
2011,Can_Tho,55.285779606767264
2012,Can_Tho,56.51593940764188
2013,Can_Tho,57.1020954079358
2014,Can_Tho,58.78199268738574
2015,Can_Tho,60.70112359550562
2016,Can_Tho,59.448213478064226
2017,Can_Tho,59.28363554958585
2018,Can_Tho,61.87543412827043
2019,Can_Tho,62.319563152896485
2020,Can_Tho,63.801044634377966
2021,Can_Tho,65.35245503159943
2022,Can_Tho,64.73814229249012
1995,Soc_Trang,39.48113207547169
1996,Soc_Trang,35.92754528419738
1997,Soc_Trang,35.71817357121258
1998,Soc_Trang,40.206635622817224
1999,Soc_Trang,42.286115007012626
2000,Soc_Trang,43.682505399568036
2001,Soc_Trang,43.741399082568805
2002,Soc_Trang,46.28909551986475
2003,Soc_Trang,46.058352402745996
2004,Soc_Trang,48.41687817258883
2005,Soc_Trang,50.81467661691542
2006,Soc_Trang,49.389642416769426
2007,Soc_Trang,49.247080516287646
2008,Soc_Trang,53.97145516599441
2009,Soc_Trang,53.2098027495517
2010,Soc_Trang,56.25286041189931
2011,Soc_Trang,59.902578796561606
2012,Soc_Trang,61.54140475539765
2013,Soc_Trang,59.437751004016064
2014,Soc_Trang,62.25061830173125
2015,Soc_Trang,62.73779983457403
2016,Soc_Trang,59.31015143017386
2017,Soc_Trang,60.4566341183228
2018,Soc_Trang,60.62251279135872
2019,Soc_Trang,60.96267190569744
2020,Soc_Trang,58.80124399208369
2021,Soc_Trang,62.78438548337908
2022,Soc_Trang,61.37620192307692
1995,Bac_Lieu,38.02307692307692
1996,Bac_Lieu,39.685264663805434
1997,Bac_Lieu,34.046052631578945
1998,Bac_Lieu,39.68365553602812
1999,Bac_Lieu,39.07722195240408
2000,Bac_Lieu,41.118269673262766
2001,Bac_Lieu,40.81976417742841
2002,Bac_Lieu,40.87750294464075
2003,Bac_Lieu,41.74867021276596
2004,Bac_Lieu,44.74872541879097
2005,Bac_Lieu,46.815286624203814
2006,Bac_Lieu,46.995142262317835
2007,Bac_Lieu,46.244162775183455
2008,Bac_Lieu,49.31612903225806
2009,Bac_Lieu,49.267267267267265
2010,Bac_Lieu,51.137081490840174
2011,Bac_Lieu,55.31953743152769
2012,Bac_Lieu,55.21544487968663
2013,Bac_Lieu,55.99009900990099
2014,Bac_Lieu,57.54716981132076
2015,Bac_Lieu,58.94241417497231
2016,Bac_Lieu,57.60440835266821
2017,Bac_Lieu,58.96456256921373
2018,Bac_Lieu,60.28648648648649
2019,Bac_Lieu,60.97768331562168
2020,Bac_Lieu,62.430703624733475
2021,Bac_Lieu,64.21465968586388
2022,Bac_Lieu,63.41450502911593
1995,Ca_Mau,28.407268840192412
1996,Ca_Mau,29.666832421680756
1997,Ca_Mau,24.870982344952466
1998,Ca_Mau,30.67094017094017
1999,Ca_Mau,34.614438063986874
2000,Ca_Mau,34.266720386784854
2001,Ca_Mau,31.817490494296578
2002,Ca_Mau,32.22222222222222
2003,Ca_Mau,32.981308411214954
2004,Ca_Mau,30.706686930091188
2005,Ca_Mau,35.30109489051095
2006,Ca_Mau,34.94800693240901
2007,Ca_Mau,34.0536149471974
2008,Ca_Mau,36.3280662151994
2009,Ca_Mau,36.223021582733814
2010,Ca_Mau,39.70517928286853
2011,Ca_Mau,41.505376344086024
2012,Ca_Mau,43.03405572755418
2013,Ca_Mau,43.644067796610166
2014,Ca_Mau,43.328100470957615
2015,Ca_Mau,36.745655608214854
2016,Ca_Mau,40.28520499108734
2017,Ca_Mau,39.43412908930151
2018,Ca_Mau,45.20442930153322
2019,Ca_Mau,45.458477508650525
2020,Ca_Mau,39.75978647686833
2021,Ca_Mau,45.854145854145855
2022,Ca_Mau,49.009009009009006
